Agency,Data Source,Website,Relevance,Data Description,"Scale Level
Standard Hierarchy of Census Geographic Entities (US Census, Nov 2020) https://www2.census.gov/geo/pdfs/reference/geodiagram_islandareas.pdf",Scale Level Comments,Variable Indicator Examples (but not limited to) ,Timeframe (Can Vary Based on DataSet),Frequency of Updates,Comments/Questions? ,Point of Contact,Relevant URLs,Cited by,,,,,,,,,,,,,,,,,
USGS,Emergency Assessment of Post-Fire Debris-Flow Hazards,https://landslides.usgs.gov/hazards/postfire_debrisflow/,Fire Related Data Set,"Characterized by basin morphometry, burn severity, soil properties, rainfall characteristics to estimate the probability and volume of debris flows",State,,"Date of origin, location, acreage, segmented probability ",2013 - Present,Annually or quicker. Dependent on Landslide events occuring,"Shapefiles and geodatabase information for each fire
Do not predict downstream impacts, potential debris-flow runout paths, and the area extent of debris-flow or flood inundation",,,,,,,,,,,,,,,,,,,,
Colorado State University,Gridded Surface Smoke and Non-Smoke PM2.5,"https://dx.doi.org/10.25675/10217/193258, https://doi.org/10.25675/10217/208602",Fire Related Data Set,"Looks at wildfire smoke epidemiology, health-impact assessments, economics, etc. Data collected from 2006-2018 but 2019-2020 data will be posted soon",,,"Looks at wildfire smoke epidemiology, health-impact assessments, economics, etc.",,Retrospective,,Jeffrey Pierce (jeffrey.pierce@colostate.edu) ; Bonne Ford (bonne.ford@colostate.edu),,,,,,,,,,,,,,,,,,,
DOC/NOAA/NWS,National Digital Forecast Database,https://digital.weather.gov/,Fire Related Data Set,Official NWS gridded forecast data for all elements. Data is measured hourly up to 7 day forecast,County,,,,Future Forecast Data,,webmaster.mdl@noaa.gov,,,,,,,,,,,,,,,,,,,
DOC/NOAA/NWS,National Weather Service Spot Forecast,https://www.weather.gov/spot/,Fire Related Data Set,Site specific NWS spot forecast requests for wildfires or prescribed burns which provides a 48 hour forecast,N/A,Measurements Occur as Requested,"Spot weather forecasts (forecasts issued to fit time, topography and weather of specific incidents)",Current,"Future Forecast Data, and monitoring",,virgil.middendorf@noaa.gov,,,,,,,,,,,,,,,,,,,
DOC/NOAA/NWS,NOAA Operational Model Archive and Distribution System (NOMADS),https://nomads.ncep.noaa.gov/,Fire Related Data Set,Meant to provide access to all NWS available model data. Forecasts range from hourly to weeks,N/A,Dependant on Resource Used,Weather forecasting data,2016-Present ,Ranges from hourly to daily,,ncep.pmb.dataflow@noaa.gov,,,,,,,,,,,,,,,,,,,
DOC/NOAA,Meteorological Assimilation Data System (MADIS),https://madis-data.ncep.noaa.gov/madis_api.shtml,Fire Related Data Set,Assimilation of historical observing systems. Data collection depends on the data element and source,N/A,Dependant on Weather Station Chosen,,Historical,,,ncep.list.madis_support@noaa.gov,,,,,,,,,,,,,,,,,,,
NOAA/OAR/CSL,Wildfire Emission Factors,https://csl.noaa.gov/projects/firex/firelab/,Fire Related Data Set,Quantify wildfire emissions of air pollutants. Data has been collected during field-intensive study periods (Summer 2019) and laboratory measurements (2016),,,Air pollutants/quality,2016,Not,,Brian McDonald (brian.mcdonald@noaa.gov),,,,,,,,,,,,,,,,,,,
NOAA/OAR,Wildfire Air Quality Impacts,https://rapidrefresh.noaa.gov/RAPchem/,Fire Related Data Set,Forecast and predict air quality impacts from wildfire smoke. Data has been collected since 2020,State,,Air quality prediction,2020 - Present,Hourly,,Brian McDonald (brian.mcdonald@noaa.gov),,,,,,,,,,,,,,,,,,,
NOAA/NASA,"Satellite in HMS: G16/17, VIIRS NOAA20/JPSS, MODIS/Terra",https://www.avl.class.noaa.gov/saa/products/catSearch,Fire Related Data Set,To detect active fire pixels and the extent of smoke plumes. Data collected is based on Mission,N/A,Global Outlook,"smoke plumes, cloud cover, haze, sea surface heights, GOES satellite measurements",2011 - Present ,Real Time and Archival,,Wilfrid Schroeder,,,,,,,,,,,,,,,,,,,
NOAA,VIIRS I-band Active Fire Visual Display,https://re.ssec.wisc.edu/s/R22xwP,Fire Related Data Set,"Active fire detection and characterization for detection, monitoring and source for emission modeling. Data collected covers the previous 10 hours. ",County,,Fire radiative power,Current,Real Time (<30 minutes). ,,Mike Pavolonis (michael.pavolonis@noaa.gov),ftp://refireflood.ssec.wisc.edu/ ;  ftp://ftp.star.nesdis.noaa.gov/pub/smcd/emb/fire/VIIRS/VIIRS_375m_SNPP ; ftp://ftp.star.nesdis.noaa.gov/pub/smcd/emb/fire/VIIRS/VIIRS_375m_NOAA20 ,,,,,,,,,,,,,,,,,,
NOAA,Global Biomass Burning Emissions Product eXtended (GBBEPx),https://www.ospo.noaa.gov/Products/land/gbbepx/,Fire Related Data Set,GBBEPx serves as input to the NWS global and regional operational air quality forecasting models. Data collected covers from 2012 to present. ,N/A,Global Outlook,"Air Quality (PM2.5, emissions, GBBEP, biomass burning)",Current,Near Real Time (Once a Day),,Shobha Kondragunta (shobha.kondragunta@noaa.gov),,,,,,,,,,,,,,,,,,,
NOAA,HourlySurface PM2.5,https://www.star.nesdis.noaa.gov/smcd/spb/aq/AerosolWatch/,Fire Related Data Set,EPA plans to ingest the near real time surface PM2.5 estimates into its AirNow system. Data has been collected since 2021. ,N/A,Global Outlook,"Air Quality (PM2.5, emissions, cloud cover), Satellite Imagery, Wildfires",Current,Data looked at hourly (CONUS). This data can be customized,,Shobha Kondragunta (shobha.kondragunta@noaa.gov),ftp://ftp.star.nesdis.noaa.gov/pub/smcd/hzhang/GOES-16/NRT/CONUS/pm25gwr/ ,,,,,,,,,,,,,,,,,,
NOAA,Aerosol Watch,https://www.star.nesdis.noaa.gov/smcd/spb/aq/AerosolWatch/traject.php?product_date=20190919,Fire Related Data Set,The data is provided to the NWS for model verification. The data is also provided to the public in near real time via AerosolWatch website. ,State,,Air/wind patterns and currents,48 Hrs,Data looked at daily in 10 minute increments. Data can be customized as needed. ,,Shobha Kondragunta (shobha.kondragunta@noaa.gov),,,,,,,,,,,,,,,,,,,
NOAA,GOES-R Fire Alerts,https://cimss.ssec.wisc.edu/volcat-wildfires/event-dashboard/,Fire Related Data Set,Rapid detection of new fire events. Data has been collected since 2017. ,County,,Thermal anomaly detection,Current ,Nearly continuous (Every 1 or 5 minutes),,Michael Pavolonis (michael.pavolonis@noaa.gov),,,,,,,,,,,,,,,,,,,
NOAA,Hazard Mapping System (HMS),https://www.ospo.noaa.gov/Products/land/hms.html#maps,Fire Related Data Set,Interactive map of active fires and smoke. The fire and smoke detections are quality controlled by operational analysts. Data has been collected from 2003 to Present. ,State,,,,"At least once per day. The underlying data displayed in the Hazard Mapping System are available in shapefile, KML, and text formats. ",,Davida Streett (davida.streett@noaa.gov),,,,,,,,,,,,,,,,,,,
"EPA, USFS",Fire and Smoke Map,https://fire.airnow.gov/,Fire Related Data Set,Interactive map of air quality index (AQI) from regulatory-grade & low-cost air sensors and fire locations; hourly data,County,,"Air Quality, smoke plumes, wildfire presence, terrain maps",Current Data,Real Time; Nearly Continuous Updates,,,,,,,,,,,,,,,,,,,,,
"USDA, Forest Service","ArcGIS layer, linked here",https://www.arcgis.com/home/webmap/viewer.html?url=https%3A%2F%2Fapps.fs.usda.gov%2Farcx%2Frest%2Fservices%2FEDW%2FEDW_WUI_2010_01%2FMapServer&source=sd,Fire Related Data Set,"Wildland Urban Interface, where houses/structures meet or interface with undeveloped vegetation, concern is fires burning here might emit more toxic mixtures than wildland fires. ",State,,"Wildland Urban Interface (WUI) locations, topography",2010,Not Updated,"These data were collected using funding from the U.S. Government and can be used without additional permissions or fees. If you use these data in a publication, presentation, or other research product please use the following citation: Radeloff, Volker C.; Helmers, David P.; Kramer, H. Anu; Mockrin, Miranda H.; Alexandre, Patricia M.; Bar Massada, Avi; Butsic, Van; Hawbaker, Todd J.; Martinuzzi, Sebastian; Syphard, Alexandra D.; Stewart, Susan I. 2017. The 1990-2010 wildland-urban interface of the conterminous United States - geospatial data. 2nd Edition. Fort Collins, CO: Forest Service Research Data Archive. https://doi.org/10.2737/RDS-2015-0012-2",,,,,,,,,,,,,,,,,,,,
NASA,NASA FIRMS (fire detection from space),https://firms.modaps.eosdis.nasa.gov/,Fire Related Data Set,"fire detection from 4 satellites (Terra, Aqua, NPP, NOAA20)",County,,Fire location and intensity (fire radiative power),2000 - Present,Near Real Time; Continuous updates,,,,,,,,,,,,,,,,,,,,,
NASA,NASA worldview ,https://worldview.earthdata.nasa.gov/,Fire Related Data Set,"Satellite obs. (UV, Vis, IR imageries), CO, smoke, fire detection",N/A ; Global Outlook,Global Outlook,"Smoke expension, smoke optical properties, atmospheric indicators",2000 (?) - Present,Near Real Time; Continuous updates,Data available is dependent on layer and date. Some layers do not provide much historical data,,,,,,,,,,,,,,,,,,,,
NASA,NASA Disaster portal,https://disasters-nasa.hub.arcgis.com/,Fire Related Data Set,"An interface for latest near real-time and disaster specific data products in Geographic Information Systems (GIS) format. The Disasters Mapping Portal supports NASA’s Earth Applied Sciences Disasters program area in its mission to use Earth-observing data and applied research to improve the prediction of, preparation for, response to and recovery from hazards and disasters around the world.",N/A ,Dependant on Resource Used,"Fire location, Air quality, plume height, Aerosol optical Depth, Damage proxy maps, debris flows, hurricanes, volcano eruptions, disasters (general)",Wildfires from 2020 - Present. Other Data dependent on GIS layer,Continuous depending on data layer,,,https://appliedsciences.nasa.gov/join-mission/training/english/arset-satellite-observations-and-tools-fire-risk-detection-and,,,,,,,,,,,,,,,,,,
NASA,NASA LANCE ,https://earthdata.nasa.gov/earth-observation-data/near-real-time,Fire Related Data Set,"NASA's Land, Atmosphere Near real-time Capability for EOS (LANCE) provides near real-time data and imagery within 3 hours from satellite observation, including MODIS and VIIRS/Suomi NPP Active Fires near real-time data products.",N/A,Dependant on Resource Used,"Data sets in MODIS near real-time Thermal Anomalies/Fire products include fire-mask, algorithm quality assurance, radiative power and numerous layers describing fire pixel attributes.                                                                        Information in VIIRS/NPP near real-time Active Fires products include fire mask, fire pixel’s latitude and longitude, fire pixel’s I4 and I5 brightness temperatures (BT), background’s I4 and I5 BTs, background’s I4 and I5 BT mean absolute deviation, background’s I4-I5 BT difference mean absolute deviation, fire pixel’s M13 radiance, background’s M13 radiance, mean background I4-I5 BT difference, fire radiative power (FRP), number of adjacent cloud pixels, number of adjacent water pixels, background window size, detection confidence. ",Current Data; No historical information,3-5 Hour Increments,,,,,,,,,,,,,,,,,,,,,
NASA,Actionable Fire Science Information Hub,https://cec-ash-prof-services.hub.arcgis.com/,Fire Related Data Set,This collaborative portal aims to bring together data from various organizations to allow for informed decision making in the different phases of a wildfire which includes pre- active and post. ,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Cal FIRE,CalFIRE FRAP GIS Data,https://frap.fire.ca.gov/mapping/gis-data/,Fire Related Data Set,"This link includes a variety of CAL FIRE measurements that link to various GIS portals. These include vegetation maps, watershed maps, county boundaries, fire threat, fire severity, land ownership, erosion maps, and WUI interface maps. ",County ,,"Vegetation, watershed, fire characteristics, erosion, WUI",Dependent on Data Desired,N/A,,frapwebmaster@fire.ca.gov,,,,,,,,,,,,,,,,,,,
Purple Air,Purple Air,https://www2.purpleair.com/,Fire Related Data Set,PurpleAir utilizes sensors to collect local air quality data and provide a sharing platform with public users. ,States,Data Measured by Location of Air Quality Sensors,Air Quality (Indoor and Outdoor),Real-Time,Continuous,,https://www2.purpleair.com/pages/contact-us,,,,,,,,,,,,,,,,,,,
CARB,CARB Air Quality and Meteorological Information System,https://www.arb.ca.gov/aqmis2/aqmis2.php,Fire Related Data Set,"CARB AQMIS provides many measurements include ozone, air quality, meteorological, and greenhouse gas data with the capability to overlay these measurements onto google maps. ",County ,California Only,"Ozone, Air Quality, Meteorological, Greenhouse Gases",2012-Present,Daily,,https://www.arb.ca.gov/aqmis2/MainPgLinks/contacts.php,,,,,,,,,,,,,,,,,,,
Sonoma County,Sonoma Count Evacuation Zones,https://sonomacounty.maps.arcgis.com/apps/instant/lookup/index.html?appid=58500b81c61148279263bed52403c81a,Fire Related Data Set,"This GIS map provides evacuation zones within sonoma county and provides information about those evacuation zone including where to go, who is being evacuated, and the overall status of the zone. ",County ,Sonoma County Only,Evacuation zones,Current,Continuous,,,,,,,,,,,,,,,,,,,,,
NOAA,National Integrate Drought Information System,https://www.drought.gov/states/california,Fire Related Data Set,"The U.S. Drought Monitor (USDM) is updated each Thursday to show the location and intensity of drought across the country. This data is available for every state and county. The measurements are tracked using a 5 items scale raning from D0 , abnormally dry, to D4, Exceptional Drought. ",County,,"Drought conditions, precepitation levels",2000-Present,Weekly (Thursday),,https://www.drought.gov/contact-us,,,,,,,,,,,,,,,,,,,
USFS,InciWeb,https://inciweb.nwcg.gov/,Fire Related Data Set,"InciWeb is an interagency all-risk incident information management system. Provides current information about wildfires, prescribed burns, floods, hurricanes, and other incidents to the public, news media, and other interested parties. It is a soruce for incident and contact information, news releases, closure information, photos, maps and videos for incidents that occur on federal, state, tribal and local jurisdictions.",County,,"Fire location, cause, date of origin, coordinates, size, fuels, # of personnel, closures (includes post-fire information as well)",Current,Near-real time,"As of 8/19, there is data on fires from 5/31/22 to present",,,"Johnson and Garcia-Menendez, 2022",,,,,,,,,,,,,,,,,
N/A,OpenAQ,https://openaq.org/#/,Fire Related Data Set,"Open source air quality data from a range of reference monitors and low cost sensors. Includes data on the following pollutant types: PM10, PM2.5, sulfur dioxide (SO2), carbon monoxide (CO), nitrogen dioxide (NO2), ozone (O3), or black carbon (BC)",N/A,Global Outlook,Air Quality,Current,real-time,,,https://openaq.org/#/countries/US https://openaq.medium.com/where-does-openaq-data-come-from-a5cf9f3a5c85,"Sannigrahi et al, 2022",,,,,,,,,,,,,,,,,
EPA,EJSCREEN,https://www.epa.gov/ejscreen,Population  Related Data Set,Environmental justice screening and mapping tool,Census Blocks,,"Demographic (gender, race, language, education, employment)
 
Industrial & environmental (hazardous waste, wastewater quality, ozone)",Every Decade ; Dependant on Census Reports,Annually; Reflects ost recent census reports,"User-specific: capable of drawing regions of tailored research

Minor anthropogenetic activities in surrounding areas of Russian River

2020 Census data not included yet

No direct wildfire data

How does socioeconomic status of individuals/communities affect the recovery of post-wildfire drinking water quality? ",https://www.epa.gov/aboutepa/forms/contact-epa,,,,,,,,,,,,,,,,,,,
EPA,"Consumer confidence reports
(Office of Ground Water and Drinking Water)
",https://www.epa.gov/ccr,Population  Related Data Set,Annual drinking water quality report from water utilities,Census Blocks,Reports Dependant on Water Distributer Submissions,"Water system websites & contact info, client/population served

Drinking water sources and regulated contaminants

Potential health effects of any contaminant detected in violation with EPA

Educational info on nitrate, arsenic, or lead",Current,CCR Reports sent annually by July 1st,"Link to federal standards of drinking water (Clean Water Act), such as monitoring programs of contaminant/pollutant levels 

Reports neither indicative of wildfire impacts of water system maintenance and recovery process nor demarcate wildfire incidents

Best practices for preparing the language of CCRs available ",https://www.epa.gov/aboutepa/forms/contact-epa,,,,,,,,,,,,,,,,,,,
CDC,"National Environmental Public Health Tracking Network
",https://ephtracking.cdc.gov/,Population  Related Data Set,"Web-based system with components at the national, state, and local levels, houses environmental public health data used to inform public health actions (PHAs) to improve community health",Census Blocks,,"Data sources include, but not limited to, socioeconomic indices, public health, and climate change

Population (social vulnerability index, CDC's 500 Cities Project (2016-2019, replaced by PLACES Project in Dec 2020))

Environmental & hazards (climate change, community characteristics, toxic substance, children's environmental health) 

Health (asthma, cancer, pulmonary & heart diseases)",,Update regularly. Dependant on data reports from other agencies and states.,"Data Explorer application: comparison of two locations based on select criteria
-somewhat similar to EPA EJSCREEN

Real-time overlays applicable to wildfire smoke and current radar info to map views 

Pages have different updated timepoints (a lack of consistency in data cohesiveness)
- link to external sources and parameters

Representative estimates, not whole-population collection within the US and Puerto Rico (margin errors need to be considered) 

Some info about Sonoma County, CA (yr. 2019):
Population: 495,432
Average household income: $81,002 (compared to $75,250 in CA)
Poverty rate: 9.9%",https://wwwn.cdc.gov/dcs/contactus/form,,,,,,,,,,,,,,,,,,,
HRSA, Health Center Program Uniform Data System (UDS) ,https://data.hrsa.gov/tools/data-reporting ,Population  Related Data Set,"Explore aggregated UDS data on health center patient characteristics, services provided, clinical processes and health outcomes, patients' use of services, staffing, costs, and revenues",County,,"Patient characteristics (poverty level, insurance status, race & ethnicity, veterans, Medicare)

Clinical (prenatal care, diabetes, cancer) 

Health outcomes & disparities
Medical costs",2017-Present,Annually depending on report type requested,"Related data: https://data.hrsa.gov/related-sites

HRSA national investment and awardees by geography
https://data.hrsa.gov/geo
https://data.hrsa.gov/data/reports",https://www.hrsa.gov/about/contact/,,,,,,,,,,,,,,,,,,,
Sonoma County Dept. of Health Services,"2013 Community Health Needs Assessment
",https://sonomacounty.ca.gov/Health/Public-Reports/Health-Need-Assessments/Leading-Health-Indicators/,Population  Related Data Set,"Highlighting major health conditions or events that compromise the health and healthy development of children and contribute most prominently to illness and injury, disability and death for Sonoma County adults and children
-also sourced from CA Dept. of Public Services ",County,,"Leading health & mortality factors differed by age groups

The county significantly exceeds California averages for cancer, stoke, chronic lower respiratory disease, Alzheimer’s disease, unintentional injuries, suicide and chronic liver disease deaths.

i.e., 3 leading causes of mortality are cancer, unintentional injury, and diseases of the nervous system for children ages 1-12",2007-2010,Not updated beyond 2010,"Why is the community assessment discontinued?

http://sonomahealthaction.org/Home/ 

https://sonomacounty.ca.gov/Health-Services/

Identify health priorities including: 
healthy eating and physical fitness
access to substance use disorder services 
disparities in educational attainment",DHSDIR@sonoma-county.org,,,,,,,,,,,,,,,,,,,
CA Dept. of Public Health,California Hospital Data,https://www.cdph.ca.gov/ ,Population  Related Data Set,To advance the health and well-being of California's diverse people and communities,State,,Health programs in CA, ,Annually,State wildfire resources: https://www.cdph.ca.gov/Programs/EPO/Pages/Wildfire%20Pages/Wildfires--.aspx ; Requires agreements and approval from board,,,,,,,,,,,,,,,,,,,,
SAMSHA,2020 Uniform Reporting System (URS) Table For California,https://www.samhsa.gov/data/report/2020-uniform-reporting-system-urs-table-california ,Population  Related Data Set,"Collect annually to support the Community Mental Health Services Block Grant program. State Mental Health Authorities report on National Outcome Measures (NOMS), evidence-based practices, and utilization measures providing an overview of state mental health delivery systems.",State,,"Survey measures
- positive outcomes inadequately addressed 

Age groups

Hospitalization by residence types",2007-2020,"Annually, but lags a year behind",How can this data link to post-wildfire trauma incidences/trauma?,https://www.samhsa.gov/about-us/contact-us,,,,,,,,,,,,,,,,,,,
"FEMA
US Fire Administration",State fire profiles,https://www.usfa.fema.gov/data/statistics/states/california.html,Population  Related Data Set,"A snapshot of California fire losses reported through the National Fire Incident Reporting System (NFIRS) in 2018, along with fire fatalities in 2021",County,,"Fires casualties by general incident types

Fire department specialized services

Fire fatalities",2019-Present,"Annually, but some aspects are reliant on NFIRS Report","Local fire departments searchable by address info

Lack specifics of fire incidences",https://www.usfa.fema.gov/contact.html,,,,,,,,,,,,,,,,,,,
Census Bureau,American Community Survey (ACS) ,https://www.census.gov/programs-surveys/acs/news/data-releases.html,Population  Related Data Set,"American Community Survey demographic, socioeconomic and other data. Has several variables related to population distributions, specific vulnerabilities, also variables that would be useful to have for planning evacuations/emergency response etc..",Census Tracts,,"Planning for emergency response/evacuations: Households with no internet access, households with a smartphone, households with no vehicles etc.",2007-Present,Annually but data lags a year behind,"Too many variables here, probably would want to select subset for case study",https://www.census.gov/about/contact-us.html,,,,,,,,,,,,,,,,,,,
USGS,USGS National Map,https://apps.nationalmap.gov/viewer/,Population  Related Data Set,"Several layers available, on land cover, impervious surface, elevation, but also structures (schools, medical and emergency response facilities, transportation, etc.)",N/A,,"Structures (select medical and emergency response incl hospitals, ambulance services, and fire stations/EMS, education, law enforcement), geographic names, canopy cover, shrublands (NLCD data), slope map for elevation, ",Current,Annually but dependant on report you wish to view,,https://answers.usgs.gov/,,,,,,,,,,,,,,,,,,,
HHS-ACF,Head Start Center Location Datasets,https://eclkc.ohs.acf.hhs.gov/about-us/article/head-start-center-location-datasets,Population  Related Data Set,Point locations of Head Start funded programs. Head Start provides care and learning experiences for young children.,N/A,,,Current,Annually,Location of service providers and recipients vulnerable to disaster.,https://eclkc.ohs.acf.hhs.gov/contact-us,,,,,,,,,,,,,,,,,,,
Census,Community Resilience Estimates,https://www.census.gov/programs-surveys/community-resilience-estimates/data/datasets.html,Population  Related Data Set,Examines how at-risk every single neighborhood is to the impact of a disaster. The community Resilience Estimates use single year microdata.,Census Tracts,,Social Vulnerability and equity gaps,2018-2019,,,https://www.census.gov/about/contact-us.html,,,,,,,,,,,,,,,,,,,
"geo, NASA, COPERNICUS ",Global Wildfire Information System ,https://gwis.jrc.ec.europa.eu/,Population  Related Data Set,2001-2019 Historical data . Forecast and Damage assessment ,N/A,,"Historical data, forectas, damage assessment. ",2002-Present,Frequently,,https://gwis.jrc.ec.europa.eu/contact-us,,,,,,,,,,,,,,,,,,,
Washington Office of Financial Management ,population and demographics,https://ofm.wa.gov/washington-data-research/population-demographics,Population  Related Data Set,"characteristics of Washington’s population, housing, and economy",Census Tracts,,householde income,2000-2020,Every Decade,,https://ofm.wa.gov/washington-data-research/population-demographics/contacts-population-demographics,,,,,,,,,,,,,,,,,,,
